

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     E-应用     1.0000    0.9216    0.9592       102
     B-应用     1.0000    0.5686    0.7250       102
     E-接口     0.9804    0.9615    0.9709       104
     M-端口     0.9858    0.9792    0.9824      2686
     B-服务     0.9804    0.8065    0.8850       124
     E-IP     0.9559    0.8667    0.9091       300
    M-微服务     0.9993    0.9979    0.9986      2900
     E-端口     0.9724    0.9216    0.9463       306
    M-中间件     0.9963    1.0000    0.9981      1598
    E-微服务     1.0000    0.9902    0.9951       204
     E-主机     0.9767    0.8571    0.9130        98
     B-端口     0.9931    0.9412    0.9664       306
     M-应用     0.9764    0.9977    0.9869      1738
     M-IP     0.9794    0.9966    0.9879      2952
     M-主机     0.9626    1.0000    0.9810      1442
     E-服务     0.9608    0.7903    0.8673       124
    B-中间件     1.0000    0.9400    0.9691       100
     B-IP     0.9934    1.0000    0.9967       300
    B-微服务     1.0000    0.9902    0.9951       204
     M-接口     1.0000    0.9756    0.9876      1882
     B-接口     1.0000    0.9808    0.9903       104
        O     0.9943    0.9999    0.9971     31184
     M-服务     0.9795    0.9507    0.9649      2312
     B-主机     0.9767    0.8571    0.9130        98
    E-中间件     1.0000    1.0000    1.0000       100
avg/total     0.9909    0.9909    0.9907     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     B-IP     0.9934    1.0000    0.9967       300
    B-微服务     1.0000    0.9902    0.9951       204
    M-中间件     0.9963    1.0000    0.9981      1598
     M-服务     0.9795    0.9507    0.9649      2312
     E-端口     0.9724    0.9216    0.9463       306
        O     0.9943    0.9999    0.9971     31184
     B-应用     1.0000    0.5686    0.7250       102
     E-应用     1.0000    1.0000    1.0000       102
     M-IP     0.9833    0.9959    0.9896      2952
     B-接口     1.0000    0.9808    0.9903       104
     E-IP     0.9510    0.9067    0.9283       300
    E-中间件     1.0000    1.0000    1.0000       100
    M-微服务     0.9844    0.9993    0.9918      2900
    E-微服务     1.0000    0.7745    0.8729       204
     E-服务     0.9608    0.7903    0.8673       124
     M-接口     1.0000    0.9756    0.9876      1882
     M-端口     0.9857    0.9769    0.9813      2686
     B-主机     0.9767    0.8571    0.9130        98
     B-端口     0.9730    0.9412    0.9568       306
     E-主机     0.9767    0.8571    0.9130        98
     M-主机     0.9704    1.0000    0.9850      1442
     M-应用     0.9786    1.0000    0.9892      1738
    B-中间件     1.0000    0.9400    0.9691       100
     E-接口     0.9804    0.9615    0.9709       104
     B-服务     0.9804    0.8065    0.8850       124
avg/total     0.9905    0.9905    0.9902     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     E-服务     0.0000    0.0000    0.0000       124
     E-端口     0.9651    0.5425    0.6946       306
    B-中间件     0.0000    0.0000    0.0000       100
     B-IP     0.8344    0.8400    0.8372       300
     B-主机     0.0000    0.0000    0.0000        98
     M-服务     0.8979    0.9507    0.9235      2312
     M-IP     0.9422    0.9824    0.9619      2952
    E-微服务     0.0000    0.0000    0.0000       204
     M-应用     0.9175    0.9977    0.9559      1738
        O     0.9780    0.9999    0.9888     31184
    M-中间件     0.9409    0.9962    0.9678      1598
     E-应用     0.0000    0.0000    0.0000       102
     B-应用     0.0000    0.0000    0.0000       102
     B-端口     0.9884    0.5556    0.7113       306
     M-接口     0.9474    0.9756    0.9613      1882
     M-端口     0.9333    0.9799    0.9560      2686
    E-中间件     0.0000    0.0000    0.0000       100
    M-微服务     0.9170    0.9979    0.9557      2900
     M-主机     0.8707    0.9431    0.9055      1442
     E-主机     0.0000    0.0000    0.0000        98
     E-IP     1.0000    0.4933    0.6607       300
     B-接口     0.0000    0.0000    0.0000       104
    B-微服务     1.0000    0.5294    0.6923       204
     E-接口     0.0000    0.0000    0.0000       104
